ROADNAME,LOCATION,FEATURE ID,ASSET TYPE,Column Material                                  ,Feature Type,Lantern Manufacturer                             ,LAMP TYPE,LAMP WATTAGE,Dimming Classification                           ,CONDITION,ELIGIBLE Supply,TOWN,WARD,Mounting Height                                  ,POSTCODE
CAVENDISH ROAD,ROAD AT OR OUTSIDE 37,COL/065/019/0016,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,55 watts,,Level 1 (Good),Yes,Eccles,Eccles Ward,6m,M27 0JD
CROFTSIDE AVENUE,UNASSIGNED,COL/010/043/0001,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Walkden North Ward,5m,M27 0DU
BOURNE AVENUE,ROAD OPPOSITE 12 BOURNE AVENUE,COL/025/014/0003,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,26 watts,,Level 1 (Good),Yes,Swinton,Swinton South Ward,6m,M30 9NB
CROFT STREET,UNASSIGNED,COL/007/004/0007,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Little Hulton Ward,5m,M27 0YF
CENTENARY WAY,UNASSIGNED,SGN/300/013/0002-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Barton Ward,,M27 0JF
BOOTHSHALL WAY,NEAR CABLE BOX,COL/001/076/0040,Lighting Column 8m,Steel,SL - Column,Urbis,High P Sodium (T),100 watts,,Level 1 (Good),No,Worsley,Boothstown and Ellenbrook Ward,8m,M27 0NH
CLIFTON ROAD,UNASSIGNED,COL/068/018/0002,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,41 watts,Dimmed to 76%,Level 1 (Good),Yes,Eccles,Eccles Ward,8m,M30 9GZ
ASTLEY ROAD,UNASSIGNED,COL/079/028/0010,LED Lighting Column 5m,Concrete,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 2,Yes,Irlam,Cadishead Ward,5m,M30 0HN
HARRIER CLOSE,ROAD SIDE OF 52 GREYLAG CRESCENT SECT.38 S,COL/002/092/0001,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 1 (Good),Yes,Worsley,Boothstown and Ellenbrook Ward,5m,M30 9EZ
CHOLMONDELEY ROAD,UNASSIGNED,COL/062/019/0001,Lighting Column 10m,Concrete,SL - Column,G.E.C.,Low P Sodium,180 watts,,Level 2,Yes,Salford 6,Weaste and Seedley Ward,10m,M27 0AA
BROADWAY,UNASSIGNED,COL/077/011/0019,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 3,Yes,Irlam,Irlam Ward,6m,M30 9JF
CHAPEL STREET,UNASSIGNED,COL/200/024/0014,Lighting Column 10m,Steel,SL - Column,Urbis,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Salford 3,Ordsall Ward,10m,M27 9UE
