ROADNAME,LOCATION,FEATURE ID,ASSET TYPE,Column Material                                  ,Feature Type,Lantern Manufacturer                             ,LAMP TYPE,LAMP WATTAGE,Dimming Classification                           ,CONDITION,ELIGIBLE Supply,TOWN,WARD,Mounting Height                                  ,POSTCODE
BROAD STREET,UNASSIGNED,COL/200/019/0006,Lighting Mast 30m,Steel,SL - Column,Unknown,High P Sodium (T),400 watts,,,Yes,Salford 6,Irwell Riverside Ward,30m,M3  7EU
DERBY ROAD,UNASSIGNED,SGN/057/001/0003-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Weaste and Seedley Ward,,M7  1RE
DERBY ROAD,UNASSIGNED,COL/057/001/0021,Lighting Column 5m,Concrete,SL - Column,G.E.C.,Low P Sodium,35 watts,,Level 2,Yes,Salford 5,Weaste and Seedley Ward,5m,M7  1XG
BARTON LANE,UNASSIGNED,COL/325/003/0032,Lighting Column 8m,Steel,SL - Column,Urbis,High P Sodium (T),100 watts,,Level 2,Yes,Eccles,Barton Ward,8m,M3  6AP
BOND SQUARE,UNASSIGNED,COL/034/019/0005,Lighting Column 5m,Steel,SL - Column,Urbis,Cosmopolis,60 watts,,Level 4,Yes,Salford 7,Broughton Ward,5m,M3  6BJ
DERBY ROAD,UNASSIGNED,COL/057/001/0019,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 1 (Good),Yes,Salford 5,Weaste and Seedley Ward,5m,M7  1XG
HODGE ROAD,OPPOSITE 2,COL/011/003/0001,Lighting Column 6m,Steel,SL - Column,Urbis,Cosmopolis,60 watts,,Level 1 (Good),Yes,Worsley,Walkden South Ward,6m,M3  7EU
DERBY ROAD,UNASSIGNED,COL/058/013/0004,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 1 (Good),Yes,Salford 6,Langworthy Ward,5m,M7  1QA
DEVOKE AVENUE,UNASSIGNED,COL/012/008/0004,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,36 watts,Dimmed to 76%,Level 4,Yes,Worsley,Walkden South Ward,5m,M7  2YW
BOLTON ROAD,Opp.Barken Way,COL/214/001/0050,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T+),250 watts,,,Yes,Swinton,Pendlebury Ward,10m,M7  4FJ
HEREFORD ROAD,ROAD AT OR OUTSIDE 81 HEREFORD ROAD,COL/064/003/0004,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,26 watts,,Level 1 (Good),Yes,Eccles,Eccles Ward,6m,M3  6BJ
BARNETT DRIVE,REAR OF HOUSES,COL/041/066/0009,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,26 watts,Dimmed to 77%,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,5m,M3  6DB
BROAD STREET,UNASSIGNED,SGN/200/019/0004-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,,,,M3  7EU
DERBY ROAD,UNASSIGNED,COL/057/001/0006,Lighting Column 8m,Steel,SL - Column,Philips,Cosmopolis,90 watts,,Level 1 (Good),Yes,Salford 6,Langworthy Ward,8m,M7  1TE
BARTON LANE,UNASSIGNED,COL/325/003/0035,Lighting Column 8m,Steel,SL - Column,Urbis,High P Sodium (T),100 watts,,Level 2,Yes,Eccles,Barton Ward,8m,M7  1RE
BROAD STREET,UNASSIGNED,COL/200/020/0005,Lighting Column 8m,Steel,SL - Column,G.E.C.,Low P Sodium,90 watts,,Level 1 (Good),Yes,Salford 6,Irwell Riverside Ward,8m,M3  7EU
DENSTONE AVENUE,UNASSIGNED,COL/065/023/0001,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 1 (Good),Yes,Eccles,Eccles Ward,5m,M7  2YG
DERBY ROAD,UNASSIGNED,COL/057/001/0005,Lighting Column 8m,Concrete,SL - Column,Philips,Cosmopolis,90 watts,,Level 1 (Good),Yes,Salford 6,Weaste and Seedley Ward,8m,M7  1QA
FENNEY STREET EAST,UNASSIGNED,COL/034/041/0002,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,38 watts,Dimmed to 77%,Level 1 (Good),Yes,Salford 7,Broughton Ward,6m,M7  4FF
BROTHERTON DRIVE F/PTHS R/O 28/40 & 25/3,UNASSIGNED,COL/806/002/0029,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T),70 watts,,,Yes,Salford 3,Irwell Riverside Ward,5m,M3  6DB
BROTHERTON DRIVE F/PTHS R/O 28/40 & 25/3,UNASSIGNED,COL/806/002/0030,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T),70 watts,,,Yes,Salford 3,Irwell Riverside Ward,5m,M3  5EP
DEVINE CLOSE,UNASSIGNED,COL/041/054/0003,Lighting Column 5m,Steel,SL - Column,Philips,High P Sodium (E),70 watts,,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,5m,M7  1XU
DEVOKE AVENUE,,COL/012/008/0001A,LED Lighting Column,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,36 watts,Dimmed to 76%,,Yes,Worsley,Walkden South Ward,6m,M7  2YW
BARNETT DRIVE,UNASSIGNED,COL/041/066/0005,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,26 watts,Dimmed to 77%,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,5m,M3  6DB
BRACKLEY ROAD,UNASSIGNED,COL/065/038/0001,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,19 watts,Dimmed to 79%,Level 1 (Good),Yes,Eccles,Eccles Ward,5m,M7  2BZ
CHURCH STREET,UNASSIGNED,SGN/300/022/0004-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Eccles,Eccles Ward,,M3  5HG
DERBY ROAD,UNASSIGNED,COL/057/001/0007,Lighting Column 8m,Steel,SL - Column,Philips,Cosmopolis,90 watts,,Level 1 (Good),Yes,Salford 5,Langworthy Ward,8m,M7  1RY
BARNETT DRIVE,UNASSIGNED,COL/041/066/0008,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,26 watts,Dimmed to 77%,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,5m,M3  6DB
DERWENT STREET,UNASSIGNED,COL/046/002/0005,Lighting Column 6m,Concrete,SL - Column,G.E.C.,Low P Sodium,90 watts,,Level 4,Yes,Salford 5,Ordsall Ward,6m,M7  1XU
BRACKLEY AVENUE,,COL/080/043/0005,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,,Yes,Irlam,Cadishead Ward,6m,M7  2AF
DERBY ROAD,UNASSIGNED,COL/057/001/0011,Lighting Column 5m,Steel,SL - Column,G.E.C.,Low P Sodium,35 watts,,Level 1 (Good),Yes,Salford 5,Langworthy Ward,5m,M7  1RD
DERWENT STREET,UNASSIGNED,COL/046/002/0003,Lighting Column 8m,Steel,SL - Column,Philips,Low P Sodium,90 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,8m,M7  1XA
EASTWOOD AVENUE,UNASSIGNED,COL/004/036/0006,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,55 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Little Hulton Ward,5m,M7  2YN
DERWENT STREET,UNASSIGNED,COL/046/002/0001,Lighting Column 6m,Concrete,SL - Column,G.E.C.,Low P Sodium,35 watts,,Level 3,Yes,Salford 5,Ordsall Ward,6m,M7  1XY
DENSTONE ROAD,UNASSIGNED,COL/061/020/0002,LED Lighting Column 5m,Concrete,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 2,Yes,Salford 6,Claremont Ward,5m,M7  2DW
DERBY ROAD,UNASSIGNED,COL/057/001/0013,Lighting Column 5m,Steel,SL - Column,G.E.C.,Low P Sodium,35 watts,,Level 1 (Good),Yes,Salford 5,Langworthy Ward,5m,M7  1SR
DERBY ROAD,UNASSIGNED,COL/057/001/0015,Lighting Column 5m,Concrete,SL - Column,G.E.C.,Low P Sodium,35 watts,,Level 2,Yes,Salford 5,Weaste and Seedley Ward,5m,M7  1SR
DERBY ROAD,UNASSIGNED,COL/057/001/0022,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 1 (Good),Yes,Salford 5,Langworthy Ward,5m,M7  1RN
KIRTLEY AVENUE,UNASSIGNED,COL/068/006/0006,Lighting Column 5m,Concrete,SL - Column,Thorn,Low P Sodium,35 watts,,Level 4,Yes,Eccles,Eccles Ward,5m,M7  2YG
HODGE LANE,UNASSIGNED,COL/052/026/0021,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 4,Yes,Salford 5,Langworthy Ward,5m,M3  6NH
BARNETT DRIVE,UNASSIGNED,COL/041/066/0003,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,26 watts,Dimmed to 77%,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,5m,M3  6DB
FENNEY STREET EAST,UNASSIGNED,COL/034/041/0001,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,38 watts,Dimmed to 77%,Level 1 (Good),Yes,Salford 7,Broughton Ward,5m,M7  4EF
BARTON LANE,UNASSIGNED,COL/325/003/0033,Lighting Column 8m,Steel,SL - Column,Urbis,High P Sodium (T),100 watts,,Level 2,Yes,Eccles,Barton Ward,8m,M7  1RE
DERBY ROAD,UNASSIGNED,COL/057/001/0017,Lighting Column 5m,Concrete,SL - Column,G.E.C.,Low P Sodium,35 watts,,Level 2,Yes,Salford 5,Weaste and Seedley Ward,5m,M7  1RH
DERWENT CLOSE,UNASSIGNED,COL/004/043/0002,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 3,Yes,Worsley,Little Hulton Ward,5m,M7  1RN
CHAPEL STREET,UNASSIGNED,SGN/200/024/0007-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 3,Ordsall Ward,,M7  2BD
DERBY ROAD,UNASSIGNED,COL/057/001/0020,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 1 (Good),Yes,Salford 5,Langworthy Ward,5m,M7  1UN
EASTWOOD AVENUE,UNASSIGNED,COL/004/036/0003,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 2,Yes,Worsley,Little Hulton Ward,5m,M7  2DW
HOPEFOLD DRIVE,UNASSIGNED,COL/011/016/0013,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 2,Yes,Worsley,Walkden South Ward,5m,M7  4JX
HOUGHTON LANE,UNASSIGNED,SGN/067/005/0002-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Swinton,Worsley Ward,,M7  4JH
AGECROFT ROAD,UNASSIGNED,COL/300/031/0022,Lighting Column 10m,Steel,SL - Column,Urbis,High P Sodium (T+),250 watts,,Level 1 (Good),Yes,Swinton,Pendlebury Ward,10m,M7  4LS
BARTON LANE,UNASSIGNED,COL/325/003/0030,Lighting Column 8m,Steel,SL - Column,Urbis,High P Sodium (T),100 watts,,Level 2,Yes,Eccles,Barton Ward,8m,M3  6AP
CHURCH STREET,ROAD CORNER OF SHUTTLE STREET,COL/300/022/0004,Lighting Column 10m,Steel,SL - Column,Urbis,High P Sodium (T+),150 watts,,Level 4,Yes,Eccles,Eccles Ward,10m,M3  5HG
BINDLOSS AVENUE,UNASSIGNED,COL/068/038/0006,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,,Level 1 (Good),Yes,Eccles,Eccles Ward,6m,M7  4FL
BURY OLD ROAD,UNASSIGNED,COL/300/008/0011,Lighting Column 10m,Steel,SL - Column,Urbis,Low P Sodium,135 watts,,Level 1 (Good),Yes,Salford 7,Kersal Ward,10m,M7  1RH
FENNEY STREET,UNASSIGNED,SGN/038/001/0008-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 7,Broughton Ward,,M7  4EF
FENNEY STREET,OPPOSITE GARAGE,COL/038/001/0007,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Salford 7,Broughton Ward,8m,M7  4EF
BARNETT DRIVE,UNASSIGNED,COL/041/066/0004,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,26 watts,Dimmed to 77%,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,5m,M3  6BY
BOND SQUARE,UNASSIGNED,COL/034/019/0004A,Lighting Column 5m,Concrete,SL - Column,Phosco,Low P Sodium,35 watts,,Level 4,Yes,Salford 7,Broughton Ward,5m,M3  6BJ
HOLCOMBE CLOSE F/PTHS LINK TO LIVERPOOL,ROAD AT OR OUTSIDE PLUM TREE COURT FOOTPATH FROM PEAR TREE COURT TO BI,COL/053/021/0007F,Lighting Column 6m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 4,Yes,Salford 6,Langworthy Ward,6m,M7  4EF
EGERTON ROAD,UNASSIGNED,COL/010/026/0002,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Walkden North Ward,5m,M7  1UL
KIRTLEY AVENUE,UNASSIGNED,COL/068/006/0003,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 2,Yes,Eccles,Eccles Ward,5m,M7  2YG
CADISHEAD WAY,UNASSIGNED,COL/300/032/0028,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 2,Yes,Irlam,Irlam Ward,10m,M3  6BN
COTTENHAM LANE,UNASSIGNED,COL/039/028/0012,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 1 (Good),Yes,Salford 7,Broughton Ward,8m,M7  2ZG
CYPRESS ROAD,UNASSIGNED,COL/073/048/0005,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 2,Yes,Eccles,Winton Ward,5m,M7  1RD
BARNETT DRIVE,UNASSIGNED,COL/041/066/0006,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,26 watts,Dimmed to 77%,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,5m,M3  6BZ
BARNETT DRIVE,REAR OF HOUSES,COL/041/066/0007,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,26 watts,Dimmed to 77%,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,5m,M3  6BZ
BARTON LANE,UNASSIGNED,COL/325/003/0031,Lighting Column 8m,Steel,SL - Column,Urbis,High P Sodium (T),100 watts,,Level 2,Yes,Eccles,Barton Ward,8m,M7  1RE
KIRTLEY AVENUE,UNASSIGNED,COL/068/006/0004,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 2,Yes,Eccles,Eccles Ward,5m,M7  2YG
BOOTHSTOWN DRIVE,ROAD AT OR OUTSIDE 18 SEE DRAWING NO. WO/9,COL/001/091/0005,Lighting Column 5m,Steel,SL - Column,Holophane,High P Sodium (T),70 watts,,Level 1 (Good),No,Worsley,Boothstown and Ellenbrook Ward,5m,M3  6AY
BARNFIELD CLOSE,ROAD BETWEEN 5/6,COL/052/022/0002,Lighting Column 5m,Concrete,SL - Column,Thorn,Low P Sodium,35 watts,,Level 2,Yes,Salford 5,Langworthy Ward,5m,M3  6BZ
BOOTHSTOWN DRIVE,ROAD AT OR OUTSIDE 20 SEE DRAWING NO. WO/93/55,COL/001/091/0006,Lighting Column 5m,Steel,SL - Column,Holophane,High P Sodium (T),70 watts,,Not Specified,No,Worsley,Boothstown and Ellenbrook Ward,5m,M3  6AY
HODGE LANE,UNASSIGNED,COL/052/026/0020,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 4,Yes,Salford 5,Langworthy Ward,5m,M3  7EU
AGECROFT ROAD,OPPOSITE FLATS,COL/300/031/0021,Lighting Column 10m,Steel,SL - Column,Urbis,High P Sodium (T+),250 watts,,Level 1 (Good),Yes,Swinton,Pendlebury Ward,10m,M7  4LS
BOOTHSTOWN DRIVE,ROAD BETWEEN 17/19 SEE DRAWING NO. WO/93/5,COL/001/091/0007,Lighting Column 5m,Steel,SL - Column,Holophane,High P Sodium (T),70 watts,,Level 1 (Good),No,Worsley,Boothstown and Ellenbrook Ward,5m,M3  6AY
BRACKLEY AVENUE,UNASSIGNED,COL/080/043/0004,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 3,Yes,Irlam,Cadishead Ward,5m,M7  2BY
BOOTHSTOWN DRIVE,ROAD AT OR OUTSIDE 26 SEE DRAWING NO. WO/9,COL/001/091/0008,Lighting Column 5m,Steel,SL - Column,Holophane,High P Sodium (T),70 watts,,Level 1 (Good),No,Worsley,Boothstown and Ellenbrook Ward,5m,M3  6AY
BRACKLEY AVENUE,UNASSIGNED,COL/080/043/0003,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 2,Yes,Irlam,Cadishead Ward,5m,M7  2AJ
CHURCH STREET,ROAD AT OR OUTSIDE 19,COL/069/005/0004,Lighting Column 8m,Steel,SL - Column,Urbis,High P Sodium (T),100 watts,,Level 1 (Good),Yes,Eccles,Eccles Ward,8m,M3  5HG
FENNEY STREET,OPPOSITE GARAGE,COL/038/001/0006,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Salford 7,Broughton Ward,8m,M7  4RP
BROTHERTON DRIVE F/PTHS R/O 28/40 & 25/3,UNASSIGNED,COL/806/002/0027,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T),70 watts,,,Yes,Salford 3,Irwell Riverside Ward,5m,M3  6BY
CHURCH STREET,UNASSIGNED,COL/016/046/0003,Lighting Column 5m,Concrete,SL - Column,Urbis,High P Sodium (T),70 watts,,Level 2,Yes,Swinton,Swinton North Ward,5m,M3  5EP
HERON COURT,UNASSIGNED,COL/063/032/0003,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 1 (Good),Yes,Salford 6,Weaste and Seedley Ward,5m,M3  6NH
FENNEY STREET,UNASSIGNED,SGN/038/001/0005-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 7,Broughton Ward,,M7  4EF
ECCLES NEW ROAD,UNKNOWN,COL/910/005/0001E,Lighting Column 12m,Steel,SL - Column,WRTL,High P Sodium (T+),250 watts,,Level 1 (Good),Yes,Eccles,Weaste and Seedley Ward,12m,M7  2YN
HOPEFOLD DRIVE,UNASSIGNED,COL/011/016/0014,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 2,Yes,Worsley,Walkden South Ward,5m,M7  4JX
BARTON LANE,UNASSIGNED,COL/325/003/0028,Lighting Column 8m,Steel,SL - Column,Urbis,High P Sodium (T),100 watts,,Level 2,Yes,Eccles,Barton Ward,8m,M3  7EU
BOOTHSTOWN DRIVE,ROAD AT OR OUTSIDE 12 SEE DRAWING NO. WO/9,COL/001/091/0004,Lighting Column 5m,Steel,SL - Column,Holophane,High P Sodium (T),70 watts,,Level 1 (Good),No,Worsley,Boothstown and Ellenbrook Ward,5m,M3  6BZ
EDISON ROAD,ROAD SIDE OF PUBLIC HOUSE RELIT 2003/2004,COL/075/030/0019,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Eccles,Barton Ward,6m,M3  6BW
DENSTONE ROAD,UNASSIGNED,COL/061/020/0004,LED Lighting Column 5m,Concrete,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 2,Yes,Salford 6,Claremont Ward,5m,M7  2YN
FENNEY STREET,UNASSIGNED,SGN/038/001/0004-2,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 7,Broughton Ward,,M7  4EF
HODGE LANE,UNASSIGNED,COL/052/026/0019,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T),70 watts,,Level 4,Yes,Salford 5,Langworthy Ward,5m,M3  6NH
BOLTON ROAD,O/s 459,COL/214/001/0051,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T+),250 watts,,,Yes,Swinton,Pendlebury Ward,10m,M7  4FF
EGERTON ROAD,UNASSIGNED,SGN/010/026/0002-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Worsley,Walkden North Ward,,M7  1UN
BRACKLEY AVENUE,UNASSIGNED,COL/080/043/0002,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 2,Yes,Irlam,Cadishead Ward,5m,M7  2AL
BROTHERTON DRIVE F/PTHS R/O 28/40 & 25/3,UNASSIGNED,COL/806/002/0028,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T),70 watts,,,Yes,Salford 3,Irwell Riverside Ward,5m,M3  5EP
CYPRESS ROAD,UNASSIGNED,COL/073/048/0006,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 2,Yes,Eccles,Winton Ward,5m,M7  1TB
KIRTLEY AVENUE,UNASSIGNED,COL/068/006/0007,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 2,Yes,Eccles,Eccles Ward,5m,M7  2YQ
AMBERHILL WAY,UNASSIGNED  SEE DRAWING NO. WO/96/18,COL/001/077/0008,Lighting Column 6m,Steel,SL - Column,Urbis,High P Sodium (T),70 watts,,Level 1 (Good),No,Worsley,Boothstown and Ellenbrook Ward,6m,M7  1XB
ECCLES ROAD,UNASSIGNED,COL/025/002/0010,LED Lighting Column 8m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 1 (Good),Yes,Swinton,Swinton South Ward,8m,M3  5EP
FENNEY STREET,OPPOSITE CAR PARK,COL/038/001/0004,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Salford 7,Broughton Ward,8m,M7  4EF
BOND SQUARE,UNASSIGNED,COL/034/019/0004,Lighting Column 6m,Steel,SL - Column,Urbis,Cosmopolis,60 watts,,Level 4,Yes,Salford 7,Broughton Ward,6m,M3  6BJ
BURY OLD ROAD,UNASSIGNED,COL/300/008/0010,Lighting Column 12m,Steel,SL - Column,Urbis,High P Sodium (T),250 watts,,Level 1 (Good),Yes,Salford 7,Kersal Ward,12m,M7  1SR
CADISHEAD WAY,UNASSIGNED,COL/300/032/0027,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 2,Yes,Irlam,Irlam Ward,10m,M3  6BW
BINDLOSS AVENUE,UNASSIGNED,COL/068/038/0007,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,,Level 1 (Good),Yes,Eccles,Eccles Ward,6m,M7  4EN
ECCLES NEW ROAD,UNASSIGNED,SGN/910/005/0001-2,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Ordsall Ward,,M7  2YN
CHAPEL STREET,UNASSIGNED,COL/200/024/0008,Lighting Column 10m,Concrete,SL - Column,Unknown,High P Sodium (E),250 watts,,Level 3,Yes,Salford 3,Ordsall Ward,10m,M7  2BZ
HOLCOMBE CLOSE F/PTHS LINK TO LIVERPOOL,ROAD AT OR OUTSIDE PLUM TREE COURT FOOTPATH FROM PEAR TREE COURT TO BI,COL/053/021/0008F,Lighting Column 6m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 4,Yes,Salford 5,Langworthy Ward,6m,M7  4EH
BARTON LANE,UNASSIGNED,COL/325/003/0029,Lighting Column 8m,Steel,SL - Column,Urbis,High P Sodium (T),100 watts,,Level 2,Yes,Eccles,Barton Ward,8m,M3  7FQ
HOUGHTON LANE,UNASSIGNED,COL/067/005/0002,LED Lighting Column 8m,Concrete,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 2,Yes,Swinton,Worsley Ward,8m,M7  4JH
BRACKEN AVENUE,UNASSIGNED,COL/010/052/0005,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 2,Yes,Worsley,Walkden North Ward,5m,M7  2AN
BOOTHSTOWN DRIVE,ROAD AT OR OUTSIDE 8 SEE DRAWING NO. WO/93,COL/001/091/0003,Lighting Column 5m,Steel,SL - Column,Holophane,High P Sodium (T),70 watts,,Level 1 (Good),No,Worsley,Boothstown and Ellenbrook Ward,5m,M3  6AY
DENSTONE ROAD,UNASSIGNED,COL/061/020/0006,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 1 (Good),Yes,Salford 6,Claremont Ward,5m,M7  2YN
AGECROFT ROAD,OPPOSITE FLATS,COL/300/031/0020,Lighting Column 10m,Steel,SL - Column,Urbis,High P Sodium (T+),250 watts,,Level 1 (Good),Yes,Swinton,Pendlebury Ward,10m,M7  4LD
ECCLES NEW ROAD,UNASSIGNED,SGN/910/005/0001-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Ordsall Ward,,M7  2YQ
CHURCH STREET,ROAD AT OR OUTSIDE PEEL STREET,BOL/659/003/0004,Illuminated Bollard,None,SL - Bollard,Forest City,Low P Mercury (C) Single (PL),11 watts,,,Yes,,,,M3  5EP
EDGE FOLD CRESCENT,UNASSIGNED,COL/002/006/0003,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 3,Yes,Worsley,Walkden South Ward,5m,M7  1RD
HERON COURT,UNASSIGNED,COL/063/032/0001,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 1 (Good),Yes,Salford 6,Weaste and Seedley Ward,5m,M3  6TW
BRACKLEY AVENUE,UNASSIGNED,COL/080/043/0001,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 1 (Good),Yes,Irlam,Cadishead Ward,5m,M7  2BU
