"Road/street","Situated at","Using the grit","Location"
"Old Hall Lane, Fallowfield","Old Hall Lane at path between The Toast Rack and Manchester Grammar school","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.44687078508814,-2.2157299518585205"
"Oswald Road, Chorlton","Oswald Road near  the junction with Claridge Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.44639975130253,-2.2800421712599928"
"Parkhouse Street, Openshaw","Parkhouse Street near Wood Street near  St. Barnabas School","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.47513964117176,-2.1856427188322414"
"Parkville Road, Withington","Parkville Road near Parrs Wood Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.42449799965002,-2.2177433963224757"
"Parrs Wood Road, East Didsbury","Parrs Wood Road near Mellington Avenue","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.4064272158926,-2.226154803793179"
"Peacock Centre, Gorton","Peacock Centre near Burston Street","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.46654027179488,-2.176816463470459"
"PJs Church, Abbey Hey","PJs Church near Rainbow Heaven near Abbey Hey Lane ","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.469507737532965,-2.157887220273551"
"Platt Lane, Fallowfield","Platt Lane near  library & Fallowfield Triangle","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.44645086984416,-2.239058017512434"
"Portrush Road, Wythenshawe","Portrush Road near Simonsway","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.375715713918765,-2.254348397254944"
"Portway, Wythenshawe","Portway  near  Treganna GP/Dental Surgery at number 399","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.3709903202999,-2.2568535804748535"
"Portway, Wythenshawe","Portway next to Mountain Ash pub","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.37642477104253,-2.2795271871291334"
"Princess Street, city centre","Princess Street near Portland Street","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.47751955588958,-2.24016308762657"
"Raby Street, Moss Side","Raby Street near Brentwood Street","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.45781272879177,-2.2496616839271155"
"Raby Street, Moss Side","Raby Street near Moss Lane East","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.457880708791926,-2.2411501405440504"
"Richmond Grove, Rusholme","Richmond Grove near Richmond Court","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.45979890370535,-2.212464808981167"
