Unit Type,Unit No.,Address 1,Address 2,Easting,Northing,MH - MOUNTING HEIGHT,CT - COLUMN TYPE,LT - LAMP TYPE,LW - LAMP WATTS
LIGHTING COLUMN,5,ALBERT ROAD,HYDE,394609,394480,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,6,ALBERT ROAD,HYDE,394634,394458,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,7,ALBERT ROAD,HYDE,394644,394426,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,ALBERT STREET,DENTON,392486,395382,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),100 WATTS
LIGHTING COLUMN,2,ALBERT STREET,DENTON,392516,395401,10 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,150 WATTS
LIGHTING COLUMN,3,ALBERT STREET,DENTON,392510,395407,6 Metre,MILD STEEL,Ceramic Disc M Halide - CDO TT,150 WATTS
LIGHTING COLUMN,4,ALBERT STREET,DENTON,392506,395423,6 Metre,MILD STEEL,Ceramic Disc M Halide - CDO TT,150 WATTS
LIGHTING COLUMN,5,ALBERT STREET,DENTON,392506,394429,10 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,150 WATTS
LIGHTING COLUMN,6,ALBERT STREET,DENTON,392529,395406,10 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,150 WATTS
LIGHTING COLUMN,7,ALBERT STREET,DENTON,392525,395412,6 Metre,MILD STEEL,Ceramic Disc M Halide - CDO TT,150 WATTS
LIGHTING COLUMN,8,ALBERT STREET,DENTON,392521,395426,6 Metre,MILD STEEL,Ceramic Disc M Halide - CDO TT,150 WATTS
LIGHTING COLUMN,9,ALBERT STREET,DENTON,392522,395433,10 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,150 WATTS
LIGHTING COLUMN,10,ALBERT STREET,DENTON,392546,395411,10 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,150 WATTS
LIGHTING COLUMN,11,ALBERT STREET,DENTON,392540,395416,6 Metre,MILD STEEL,Ceramic Disc M Halide - CDO TT,150 WATTS
LIGHTING COLUMN,12,ALBERT STREET,DENTON,392531,395431,6 Metre,MILD STEEL,Ceramic Disc M Halide - CDO TT,150 WATTS
LIGHTING COLUMN,13,ALBERT STREET,DENTON,392537,395438,10 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,150 WATTS
LIGHTING COLUMN,2A,ALBERT STREET,DENTON,392526,395390,8 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),100 WATTS
LIGHTING COLUMN,5A,ALBERT STREET,DENTON,392549,395398,8 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),100 WATTS
LIGHTING COLUMN,1,ALBERT STREET,DROYLSDEN,390600,398367,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,ALBERT STREET,DROYLSDEN,390650,398347,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,3,ALBERT STREET,DROYLSDEN,390674,398330,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,ALBERT STREET,HYDE,395628,395008,5 Metre,CONCRETE,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,ALBERT STREET,HYDE,395643,395032,5 Metre,CONCRETE,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,3,ALBERT STREET,HYDE,395638,395061,5 Metre,CONCRETE,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,ALBERT WALK,ASHTON-UNDER-LYNE,393192,398447,6 Metre,UNKNOWN/NOT APPLICABLE,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,ALBERT WALK,ASHTON-UNDER-LYNE,393200,398434,6 Metre,UNKNOWN/NOT APPLICABLE,H.P.SODIUM(TUBULAR),70 WATTS
